Year,GlobalTempAnomaly,CO2Concentration,OceanHeatContent,SeaLevelRise
1970.1260273972603,0.043,325.21,1.89,0.13
1970.1287671232876,0.022,325.27,1.89,0.13
1970.131506849315,0.051,325.31,1.91,0.13
1970.1342465753426,0.048,325.28,1.89,0.13
1970.13698630137,0.064,325.25,1.91,0.14
1970.1397260273973,-0.007,325.24,1.91,0.14
1970.1424657534246,0.005,325.23,1.9,0.14
1970.145205479452,0.013,325.27,1.9,0.15
1970.1479452054793,0.017,325.33,1.88,0.15
1970.150684931507,0.069,325.2,1.9,0.15
1970.1534246575343,0.024,325.3,1.92,0.15
1970.1561643835616,0.043,325.24,1.9,0.16
1970.158904109589,0.054,325.29,1.89,0.16
1970.1616438356164,0.038,325.23,1.9,0.16
1970.164383561644,0.052,325.36,1.95,0.16
1970.1671232876713,0.067,325.38,1.96,0.17
1970.1698630136987,0.006,325.35,1.95,0.17
1970.172602739726,0.042,325.42,1.94,0.17
1970.1753424657534,0.018,325.38,1.95,0.18
1970.1780821917807,0.012,325.37,1.96,0.18
1970.1808219178083,0.032,325.41,1.94,0.18
1970.1835616438357,0.053,325.36,1.94,0.18
1970.186301369863,0.069,325.43,1.96,0.19
1970.1890410958904,0.043,325.36,1.93,0.19
1970.1917808219177,0.012,325.49,1.96,0.19
1970.194520547945,0.019,325.37,1.95,0.19
1970.1972602739727,0.008,325.38,1.95,0.2
1970.2,0.013,325.4,1.94,0.2
1970.2027397260274,0.027,325.28,1.97,0.2
1970.2054794520548,0.026,325.38,1.95,0.21
1970.2082191780821,0.035,325.44,1.95,0.21
1970.2109589041097,0.017,325.38,1.97,0.21
1970.213698630137,0.029,325.43,1.94,0.21
1970.2164383561644,0.075,325.41,1.95,0.22
1970.2191780821918,0.057,325.45,1.95,0.22
1970.2219178082191,0.014,325.34,1.95,0.22
1970.2246575342465,0.011,325.36,1.94,0.22
1970.227397260274,0.033,325.42,1.94,0.23
1970.2301369863014,0.051,325.38,1.96,0.23
1970.2328767123288,0.023,325.44,1.93,0.23
1970.2356164383561,-0.005,325.4,1.95,0.24
1970.2383561643835,0.042,325.51,1.95,0.24
1970.2410958904109,0.018,325.39,1.96,0.24
1970.2438356164384,0.016,325.41,1.95,0.24
1970.2465753424658,0.042,325.48,2.0,0.25
1970.2493150684932,0.021,325.5,2.02,0.25
1970.2520547945205,0.013,325.51,2.02,0.25
1970.2547945205479,0.058,325.46,2.01,0.25
1970.2575342465752,0.017,325.47,1.99,0.26
1970.2602739726028,0.028,325.55,2.0,0.26
1970.2630136986302,0.06,325.46,2.02,0.26
1970.2657534246575,0.011,325.48,2.0,0.27
1970.268493150685,0.053,325.48,2.0,0.27
1970.2712328767122,0.039,325.41,1.99,0.27
1970.2739726027398,0.054,325.49,1.99,0.27
1970.2767123287672,0.008,325.53,2.0,0.28
1970.2794520547945,0.045,325.52,2.01,0.28
1970.282191780822,0.016,325.54,1.99,0.28
1970.2849315068493,0.049,325.48,1.98,0.28
1970.2876712328766,0.012,325.49,1.99,0.29
1970.2904109589042,0.04,325.55,2.0,0.29
1970.2931506849316,-0.013,325.44,2.0,0.29
1970.295890410959,0.043,325.47,2.0,0.3
1970.2986301369863,0.003,325.4,2.0,0.3
1970.3013698630136,0.029,325.55,2.01,0.3
1970.304109589041,0.024,325.49,2.01,0.3
1970.3068493150686,0.067,325.42,2.01,0.31
1970.309589041096,0.014,325.59,2.0,0.31
1970.3123287671233,0.015,325.49,2.01,0.31
1970.3150684931506,-0.018,325.54,1.99,0.32
1970.317808219178,0.021,325.5,2.01,0.32
1970.3205479452056,0.018,325.44,2.01,0.32
1970.323287671233,0.061,325.46,2.01,0.32
1970.3260273972603,0.036,325.51,2.01,0.33
1970.3287671232877,0.019,325.56,2.05,0.33
1970.331506849315,0.064,325.56,2.05,0.33
1970.3342465753424,0.013,325.55,2.06,0.33
1970.33698630137,0.051,325.59,2.05,0.34
1970.3397260273973,0.011,325.64,2.04,0.34
1970.3424657534247,0.054,325.58,2.05,0.34
1970.345205479452,0.016,325.54,2.05,0.35
1970.3479452054794,0.005,325.67,2.04,0.35
1970.3506849315067,0.036,325.62,2.06,0.35
1970.3534246575343,0.035,325.63,2.06,0.35
1970.3561643835617,0.01,325.61,2.04,0.36
1970.358904109589,0.018,325.54,2.05,0.36
1970.3616438356164,0.035,325.61,2.05,0.36
1970.3643835616438,0.031,325.6,2.04,0.36
1970.3671232876711,0.007,325.59,2.05,0.37
1970.3698630136987,0.053,325.55,2.06,0.37
1970.372602739726,0.023,325.58,2.04,0.37
1970.3753424657534,0.052,325.59,2.05,0.38
1970.3780821917808,0.012,325.6,2.05,0.38
1970.3808219178081,0.05,325.55,2.04,0.38
1970.3835616438357,0.057,325.59,2.05,0.38
1970.386301369863,0.026,325.63,2.06,0.39
1970.3890410958904,0.055,325.62,2.06,0.39
1970.3917808219178,0.036,325.64,2.04,0.39
1970.3945205479451,0.031,325.69,2.05,0.39
1970.3972602739725,0.047,325.63,2.06,0.4
1970.4,0.022,325.57,2.06,0.4
1970.4027397260274,0.008,325.63,2.04,0.4
1970.4054794520548,-0.003,325.54,2.06,0.41
1970.4082191780822,0.048,325.58,2.05,0.41
1970.4109589041095,0.011,325.68,2.1,0.41
1970.4136986301369,0.036,325.63,2.11,0.41
1970.4164383561645,0.023,325.58,2.12,0.42
1970.4191780821918,0.045,325.69,2.11,0.42
1970.4219178082192,0.027,325.69,2.09,0.42
1970.4246575342465,0.083,325.78,2.09,0.42
1970.427397260274,0.017,325.74,2.11,0.43
1970.4301369863015,0.046,325.72,2.09,0.43
1970.4328767123288,0.021,325.7,2.09,0.43
1970.4356164383562,0.008,325.65,2.09,0.44
1970.4383561643835,0.039,325.66,2.1,0.44
1970.441095890411,0.013,325.72,2.1,0.44
1970.4438356164383,0.046,325.62,2.07,0.44
1970.4465753424658,0.019,325.6,2.11,0.45
1970.4493150684932,0.055,325.61,2.11,0.45
1970.4520547945206,0.017,325.73,2.11,0.45
1970.454794520548,0.022,325.73,2.09,0.45
1970.4575342465753,0.054,325.63,2.12,0.46
1970.4602739726026,0.036,325.69,2.1,0.46
1970.4630136986302,0.046,325.66,2.1,0.46
1970.4657534246576,0.029,325.72,2.09,0.47
1970.468493150685,0.052,325.68,2.1,0.47
1970.4712328767123,0.043,325.8,2.1,0.47
1970.4739726027397,0.002,325.73,2.1,0.47
1970.4767123287672,0.04,325.69,2.11,0.48
1970.4794520547946,0.023,325.66,2.08,0.48
1970.482191780822,-0.008,325.66,2.1,0.48
1970.4849315068493,0.037,325.65,2.09,0.48
1970.4876712328767,0.031,325.68,2.09,0.49
1970.490410958904,0.025,325.73,2.1,0.49
1970.4931506849316,-0.005,325.8,2.15,0.49
1970.495890410959,0.055,325.76,2.13,0.5
1970.4986301369863,0.029,325.73,2.14,0.5
1970.5013698630137,0.058,325.78,2.15,0.5
1970.504109589041,0.04,325.68,2.14,0.5
1970.5068493150684,0.007,325.8,2.14,0.51
1970.509589041096,0.02,325.73,2.16,0.51
1970.5123287671233,0.043,325.78,2.14,0.51
1970.5150684931507,0.027,325.79,2.15,0.52
1970.517808219178,0.024,325.82,2.16,0.52
1970.5205479452054,0.003,325.83,2.15,0.52
1970.5232876712328,0.041,325.74,2.16,0.52
1970.5260273972603,-0.025,325.85,2.12,0.53
1970.5287671232877,0.005,325.76,2.15,0.53
1970.531506849315,0.034,325.74,2.16,0.53
1970.5342465753424,0.048,325.79,2.14,0.53
1970.5369863013698,0.072,325.88,2.15,0.54
1970.5397260273974,0.052,325.78,2.15,0.54
1970.5424657534247,0.033,325.79,2.15,0.54
1970.545205479452,0.022,325.75,2.15,0.55
1970.5479452054794,0.045,325.8,2.14,0.55
1970.5506849315068,0.023,325.84,2.16,0.55
1970.5534246575342,0.021,325.78,2.15,0.55
1970.5561643835617,0.04,325.74,2.13,0.56
1970.558904109589,0.03,325.73,2.15,0.56
1970.5616438356165,0.015,325.68,2.14,0.56
1970.5643835616438,0.034,325.74,2.15,0.56
1970.5671232876712,0.02,325.84,2.14,0.57
1970.5698630136985,-0.02,325.86,2.14,0.57
1970.572602739726,0.064,325.83,2.14,0.57
1970.5753424657535,0.024,325.9,2.21,0.58
1970.5780821917808,0.037,325.95,2.2,0.58
1970.5808219178082,0.033,325.89,2.2,0.58
1970.5835616438355,0.05,325.92,2.21,0.58
1970.5863013698631,0.028,325.94,2.2,0.59
1970.5890410958905,0.025,325.91,2.18,0.59
1970.5917808219178,0.037,325.88,2.2,0.59
1970.5945205479452,0.047,325.82,2.21,0.59
1970.5972602739726,0.012,325.86,2.19,0.6
1970.6,0.033,325.86,2.2,0.6
1970.6027397260275,0.038,325.82,2.2,0.6
1970.6054794520549,0.086,325.94,2.2,0.61
1970.6082191780822,0.022,325.93,2.19,0.61
1970.6109589041096,0.049,325.93,2.19,0.61
1970.613698630137,0.019,325.96,2.21,0.61
1970.6164383561643,0.005,325.92,2.21,0.62
1970.6191780821919,0.012,325.95,2.2,0.62
1970.6219178082192,0.038,325.89,2.18,0.62
1970.6246575342466,0.019,325.87,2.19,0.62
1970.627397260274,0.005,325.88,2.22,0.63
1970.6301369863013,0.035,325.9,2.2,0.63
1970.6328767123289,0.066,325.79,2.21,0.63
1970.6356164383562,0.051,325.9,2.2,0.64
1970.6383561643836,0.065,325.93,2.21,0.64
1970.641095890411,0.012,325.9,2.2,0.64
1970.6438356164383,0.002,325.88,2.19,0.64
1970.6465753424657,0.043,325.89,2.21,0.65
1970.6493150684933,0.059,325.87,2.2,0.65
1970.6520547945206,0.039,325.94,2.2,0.65
1970.654794520548,0.058,325.85,2.22,0.65
1970.6575342465753,0.036,326.01,2.25,0.66
1970.6602739726027,0.006,326.05,2.26,0.66
1970.66301369863,0.028,325.96,2.25,0.66
1970.6657534246576,0.044,325.97,2.25,0.67
1970.668493150685,0.051,325.99,2.24,0.67
1970.6712328767123,0.047,326.03,2.25,0.67
1970.6739726027397,0.07,325.97,2.26,0.67
1970.676712328767,-0.002,325.98,2.24,0.68
1970.6794520547944,0.027,326.03,2.26,0.68
1970.682191780822,0.041,325.94,2.25,0.68
1970.6849315068494,0.033,325.94,2.25,0.68
1970.6876712328767,0.04,326.07,2.26,0.69
1970.690410958904,0.022,325.92,2.23,0.69
1970.6931506849314,0.054,325.99,2.25,0.69
1970.695890410959,0.011,326.01,2.25,0.7
1970.6986301369864,0.031,325.97,2.24,0.7
1970.7013698630137,0.027,325.95,2.25,0.7
1970.704109589041,0.007,326.0,2.26,0.7
1970.7068493150684,0.027,325.94,2.25,0.71
1970.7095890410958,0.023,326.02,2.24,0.71
1970.7123287671234,0.013,325.93,2.25,0.71
1970.7150684931507,0.061,325.93,2.26,0.72
1970.717808219178,0.045,326.02,2.26,0.72
1970.7205479452055,0.023,326.04,2.24,0.72
1970.7232876712328,0.031,326.03,2.25,0.72
1970.7260273972602,0.029,325.86,2.24,0.73
1970.7287671232878,0.012,326.02,2.25,0.73
1970.731506849315,0.039,326.0,2.25,0.73
1970.7342465753425,0.031,325.95,2.25,0.73
1970.7369863013698,0.028,326.02,2.23,0.74
1970.7397260273972,0.008,326.15,2.3,0.74
1970.7424657534248,0.027,326.13,2.3,0.74
1970.7452054794521,0.04,325.99,2.3,0.75
1970.7479452054795,-0.004,326.13,2.3,0.75
1970.7506849315068,0.048,326.05,2.3,0.75
1970.7534246575342,0.04,326.13,2.31,0.75
1970.7561643835616,0.036,326.05,2.3,0.76
1970.7589041095891,0.022,326.09,2.32,0.76
1970.7616438356165,0.049,326.03,2.3,0.76
1970.7643835616439,0.026,326.13,2.3,0.76
1970.7671232876712,0.035,326.1,2.3,0.77
1970.7698630136986,0.033,326.1,2.3,0.77
1970.772602739726,0.024,326.06,2.33,0.77
1970.7753424657535,0.059,326.12,2.31,0.78
1970.7780821917809,0.028,326.08,2.3,0.78
1970.7808219178082,0.019,325.99,2.3,0.78
1970.7835616438356,0.037,326.07,2.31,0.78
1970.786301369863,0.018,326.06,2.29,0.79
1970.7890410958903,0.021,326.07,2.3,0.79
1970.7917808219179,0.037,326.04,2.31,0.79
1970.7945205479452,0.023,326.04,2.29,0.79
1970.7972602739726,0.065,326.09,2.31,0.8
1970.8,0.035,326.07,2.31,0.8
1970.8027397260273,0.029,326.04,2.31,0.8
1970.805479452055,0.015,326.11,2.32,0.81
1970.8082191780823,0.05,326.1,2.3,0.81
1970.8109589041096,0.039,326.09,2.31,0.81
1970.813698630137,0.044,326.15,2.3,0.81
1970.8164383561643,0.008,326.15,2.3,0.82
1970.8191780821917,0.035,326.16,2.29,0.82
1970.8219178082193,0.031,326.19,2.34,0.82
1970.8246575342466,0.03,326.08,2.36,0.82
1970.827397260274,0.02,326.14,2.35,0.83
1970.8301369863013,0.062,326.25,2.35,0.83
1970.8328767123287,0.101,326.16,2.33,0.83
1970.835616438356,0.057,326.19,2.35,0.84
1970.8383561643836,0.02,326.14,2.34,0.84
1970.841095890411,0.014,326.23,2.35,0.84
1970.8438356164384,0.002,326.16,2.34,0.84
1970.8465753424657,0.053,326.09,2.36,0.85
1970.849315068493,0.037,326.19,2.34,0.85
1970.8520547945207,0.017,326.17,2.36,0.85
1970.854794520548,0.003,326.28,2.36,0.85
1970.8575342465754,0.058,326.16,2.37,0.86
1970.8602739726027,0.038,326.21,2.36,0.86
1970.86301369863,0.035,326.26,2.35,0.86
1970.8657534246574,0.037,326.09,2.33,0.87
1970.868493150685,0.035,326.17,2.36,0.87
1970.8712328767124,0.021,326.2,2.35,0.87
1970.8739726027397,-0.012,326.19,2.36,0.87
1970.876712328767,-0.004,326.13,2.36,0.88
1970.8794520547945,-0.003,326.15,2.36,0.88
1970.8821917808218,0.016,326.22,2.34,0.88
1970.8849315068494,0.031,326.21,2.35,0.88
1970.8876712328768,0.062,326.18,2.34,0.89
1970.890410958904,0.012,326.14,2.35,0.89
1970.8931506849315,0.018,326.29,2.36,0.89
1970.8958904109588,0.048,326.19,2.35,0.9
1970.8986301369864,0.048,326.25,2.35,0.9
1970.9013698630138,0.004,326.19,2.35,0.9
1970.9041095890411,0.052,326.26,2.4,0.9
1970.9068493150685,0.009,326.24,2.4,0.91
1970.9095890410958,0.054,326.3,2.4,0.91
1970.9123287671232,0.043,326.2,2.39,0.91
1970.9150684931508,0.027,326.25,2.41,0.92
1970.9178082191781,0.02,326.27,2.39,0.92
1970.9205479452055,0.011,326.27,2.39,0.92
1970.9232876712329,0.021,326.28,2.41,0.92
1970.9260273972602,0.047,326.29,2.41,0.93
1970.9287671232876,0.04,326.31,2.41,0.93
1970.9315068493152,0.008,326.3,2.4,0.93
1970.9342465753425,-0.003,326.26,2.41,0.93
1970.9369863013699,0.001,326.29,2.4,0.94
1970.9397260273972,0.041,326.26,2.39,0.94
1970.9424657534246,-0.001,326.26,2.39,0.94
1970.945205479452,0.002,326.33,2.4,0.95
1970.9479452054795,0.042,326.32,2.42,0.95
1970.9506849315069,0.024,326.3,2.39,0.95
1970.9534246575342,0.046,326.28,2.39,0.95
1970.9561643835616,0.039,326.29,2.38,0.96
1970.958904109589,0.023,326.32,2.4,0.96
1970.9616438356165,0.018,326.29,2.4,0.96
1970.964383561644,0.05,326.31,2.42,0.96
1970.9671232876713,0.007,326.26,2.39,0.97
1970.9698630136986,-0.005,326.32,2.39,0.97
1970.972602739726,0.046,326.26,2.41,0.97
1970.9753424657533,0.051,326.31,2.38,0.98
1970.978082191781,0.04,326.26,2.4,0.98
1970.9808219178083,-0.015,326.27,2.39,0.98
1970.9835616438356,0.03,326.35,2.39,0.98
1970.986301369863,0.019,326.41,2.45,0.99
1970.9890410958903,0.037,326.32,2.38,0.99
1970.9917808219177,0.003,326.36,2.39,0.99
1970.9945205479453,0.055,326.29,2.41,0.99
1970.9972602739726,0.051,326.22,2.41,1.0
1971.0,0.093,326.29,2.41,1.0
1971.0027397260274,0.001,325.8,3.15,1.5
1971.0054794520547,0.027,325.88,3.16,1.51
1971.0082191780823,0.041,325.77,3.15,1.51
1971.0109589041097,0.002,325.82,3.15,1.51
1971.013698630137,0.038,325.8,3.15,1.51
1971.0164383561644,0.014,325.9,3.14,1.52
1971.0191780821917,0.054,325.91,3.14,1.52
1971.021917808219,0.031,325.86,3.16,1.52
1971.0246575342467,0.016,325.8,3.15,1.52
1971.027397260274,0.018,325.79,3.13,1.53
1971.0301369863014,0.032,325.79,3.14,1.53
1971.0328767123287,0.041,325.83,3.16,1.53
1971.035616438356,0.014,325.81,3.14,1.54
1971.0383561643835,0.007,325.73,3.16,1.54
1971.041095890411,0.013,325.76,3.14,1.54
1971.0438356164384,0.023,325.83,3.13,1.54
1971.0465753424658,-0.001,325.88,3.14,1.55
1971.0493150684931,0.032,325.75,3.16,1.55
1971.0520547945205,0.018,325.83,3.13,1.55
1971.054794520548,-0.008,325.8,3.15,1.55
1971.0575342465754,0.02,325.89,3.15,1.56
1971.0602739726028,0.039,325.81,3.13,1.56
1971.0630136986301,0.031,325.8,3.15,1.56
1971.0657534246575,0.034,325.94,3.16,1.57
1971.0684931506848,0.032,325.83,3.15,1.57
1971.0712328767124,0.018,325.85,3.15,1.57
1971.0739726027398,0.005,325.83,3.15,1.57
1971.0767123287671,0.015,325.77,3.15,1.58
1971.0794520547945,0.039,325.8,3.15,1.58
1971.0821917808219,0.049,325.94,3.2,1.58
1971.0849315068492,-0.009,325.91,3.2,1.58
1971.0876712328768,0.019,325.84,3.19,1.59
1971.0904109589042,0.027,325.96,3.19,1.59
1971.0931506849315,0.01,325.89,3.19,1.59
1971.0958904109589,0.081,325.95,3.19,1.6
1971.0986301369862,0.044,325.97,3.2,1.6
1971.1013698630136,0.032,325.95,3.19,1.6
1971.1041095890412,0.018,325.93,3.2,1.6
1971.1068493150685,0.004,325.92,3.22,1.61
1971.109589041096,-0.001,326.0,3.19,1.61
1971.1123287671232,0.008,325.9,3.21,1.61
1971.1150684931506,-0.01,325.92,3.22,1.62
1971.1178082191782,0.018,325.9,3.21,1.62
1971.1205479452055,0.015,325.88,3.19,1.62
1971.123287671233,0.017,325.92,3.21,1.62
1971.1260273972603,0.028,325.93,3.2,1.63
1971.1287671232876,0.051,325.89,3.2,1.63
1971.131506849315,-0.008,325.91,3.21,1.63
1971.1342465753426,0.023,325.98,3.19,1.63
1971.13698630137,0.043,325.95,3.2,1.64
1971.1397260273973,-0.007,325.96,3.2,1.64
1971.1424657534246,0.041,325.95,3.21,1.64
1971.145205479452,0.031,325.9,3.2,1.65
1971.1479452054793,0.03,325.91,3.2,1.65
1971.150684931507,0.023,325.83,3.2,1.65
1971.1534246575343,0.038,325.87,3.2,1.65
1971.1561643835616,0.014,325.95,3.2,1.66
1971.158904109589,0.019,325.97,3.2,1.66
1971.1616438356164,0.035,325.94,3.22,1.66
1971.164383561644,-0.008,326.04,3.26,1.66
1971.1671232876713,0.005,325.95,3.24,1.67
1971.1698630136987,0.017,325.95,3.26,1.67
1971.172602739726,0.024,326.08,3.26,1.67
1971.1753424657534,0.042,326.02,3.25,1.68
1971.1780821917807,-0.003,326.02,3.25,1.68
1971.1808219178083,0.031,326.07,3.24,1.68
1971.1835616438357,0.011,326.05,3.24,1.68
1971.186301369863,0.027,325.95,3.24,1.69
1971.1890410958904,0.046,326.08,3.23,1.69
1971.1917808219177,0.041,325.99,3.26,1.69
1971.194520547945,0.019,326.04,3.25,1.69
1971.1972602739727,0.065,326.02,3.24,1.7
1971.2,0.034,326.0,3.26,1.7
1971.2027397260274,-0.001,326.01,3.25,1.7
1971.2054794520548,0.038,326.04,3.24,1.71
1971.2082191780821,0.025,326.03,3.25,1.71
1971.2109589041097,0.041,326.02,3.27,1.71
1971.213698630137,0.054,326.1,3.24,1.71
1971.2164383561644,0.026,325.92,3.26,1.72
1971.2191780821918,0.011,326.05,3.25,1.72
1971.2219178082191,0.032,326.12,3.26,1.72
1971.2246575342465,0.02,326.05,3.25,1.72
1971.227397260274,0.054,325.94,3.24,1.73
1971.2301369863014,0.008,326.02,3.24,1.73
1971.2328767123288,0.016,326.04,3.25,1.73
1971.2356164383561,0.031,325.94,3.25,1.74
1971.2383561643835,0.015,326.01,3.24,1.74
1971.2410958904109,0.031,326.1,3.26,1.74
1971.2438356164384,0.015,325.99,3.25,1.74
1971.2465753424658,0.019,326.15,3.31,1.75
1971.2493150684932,0.008,326.17,3.29,1.75
1971.2520547945205,0.05,326.09,3.29,1.75
1971.2547945205479,0.008,326.09,3.31,1.75
1971.2575342465752,0.005,326.08,3.29,1.76
1971.2602739726028,0.007,326.11,3.29,1.76
1971.2630136986302,0.002,326.2,3.3,1.76
1971.2657534246575,0.043,326.15,3.31,1.77
1971.268493150685,0.036,326.08,3.3,1.77
1971.2712328767122,0.032,326.13,3.3,1.77
1971.2739726027398,0.011,326.06,3.3,1.77
1971.2767123287672,0.032,326.13,3.29,1.78
1971.2794520547945,-0.025,326.11,3.3,1.78
1971.282191780822,0.03,326.11,3.31,1.78
1971.2849315068493,0.026,326.14,3.29,1.78
1971.2876712328766,0.035,326.11,3.3,1.79
1971.2904109589042,0.022,326.0,3.29,1.79
1971.2931506849316,0.0,326.21,3.31,1.79
1971.295890410959,0.034,326.06,3.3,1.8
1971.2986301369863,0.027,326.1,3.31,1.8
1971.3013698630136,-0.008,326.11,3.29,1.8
1971.304109589041,0.032,326.2,3.29,1.8
1971.3068493150686,0.02,326.1,3.29,1.81
1971.309589041096,0.01,326.15,3.3,1.81
1971.3123287671233,0.023,326.09,3.3,1.81
1971.3150684931506,0.031,326.15,3.3,1.82
1971.317808219178,0.01,326.11,3.31,1.82
1971.3205479452056,0.017,326.07,3.28,1.82
1971.323287671233,-0.001,326.07,3.3,1.82
1971.3260273972603,0.022,326.12,3.31,1.83
1971.3287671232877,0.051,326.2,3.36,1.83
1971.331506849315,0.044,326.23,3.35,1.83
1971.3342465753424,-0.007,326.21,3.33,1.83
1971.33698630137,0.029,326.17,3.34,1.84
1971.3397260273973,0.074,326.15,3.36,1.84
1971.3424657534247,0.055,326.27,3.36,1.84
1971.345205479452,0.022,326.16,3.37,1.85
1971.3479452054794,-0.007,326.22,3.34,1.85
1971.3506849315067,0.003,326.24,3.35,1.85
1971.3534246575343,0.002,326.27,3.36,1.85
1971.3561643835617,0.022,326.16,3.36,1.86
1971.358904109589,0.001,326.19,3.34,1.86
1971.3616438356164,-0.012,326.22,3.33,1.86
1971.3643835616438,0.007,326.3,3.36,1.86
1971.3671232876711,0.032,326.25,3.35,1.87
1971.3698630136987,0.017,326.23,3.34,1.87
1971.372602739726,-0.019,326.2,3.35,1.87
1971.3753424657534,-0.003,326.28,3.34,1.88
1971.3780821917808,0.063,326.22,3.35,1.88
1971.3808219178081,-0.006,326.24,3.36,1.88
1971.3835616438357,0.008,326.17,3.35,1.88
1971.386301369863,0.036,326.29,3.36,1.89
1971.3890410958904,0.032,326.19,3.35,1.89
1971.3917808219178,0.024,326.28,3.34,1.89
1971.3945205479451,0.024,326.25,3.34,1.89
1971.3972602739725,-0.025,326.21,3.36,1.9
1971.4,0.04,326.26,3.34,1.9
1971.4027397260274,0.03,326.14,3.35,1.9
1971.4054794520548,0.018,326.22,3.34,1.91
1971.4082191780822,-0.001,326.22,3.34,1.91
1971.4109589041095,-0.0,326.22,3.4,1.91
1971.4136986301369,0.001,326.41,3.4,1.91
1971.4164383561645,0.025,326.38,3.39,1.92
1971.4191780821918,0.01,326.35,3.39,1.92
1971.4219178082192,0.05,326.34,3.4,1.92
1971.4246575342465,0.021,326.3,3.41,1.92
1971.427397260274,0.006,326.32,3.42,1.93
1971.4301369863015,0.018,326.26,3.4,1.93
1971.4328767123288,0.007,326.33,3.39,1.93
1971.4356164383562,0.032,326.31,3.4,1.94
1971.4383561643835,0.046,326.44,3.4,1.94
1971.441095890411,0.005,326.38,3.4,1.94
1971.4438356164383,0.009,326.37,3.4,1.94
1971.4465753424658,0.029,326.34,3.41,1.95
1971.4493150684932,-0.016,326.24,3.41,1.95
1971.4520547945206,-0.017,326.3,3.41,1.95
1971.454794520548,0.017,326.19,3.41,1.95
1971.4575342465753,0.003,326.32,3.4,1.96
1971.4602739726026,0.003,326.35,3.39,1.96
1971.4630136986302,0.012,326.29,3.38,1.96
1971.4657534246576,0.014,326.31,3.4,1.97
1971.468493150685,0.015,326.48,3.41,1.97
1971.4712328767123,0.018,326.28,3.39,1.97
1971.4739726027397,-0.01,326.33,3.4,1.97
1971.4767123287672,0.009,326.26,3.4,1.98
1971.4794520547946,0.033,326.34,3.43,1.98
1971.482191780822,0.012,326.3,3.4,1.98
1971.4849315068493,0.014,326.41,3.39,1.98
1971.4876712328767,0.011,326.27,3.4,1.99
1971.490410958904,-0.009,326.32,3.42,1.99
1971.4931506849316,-0.003,326.45,3.45,1.99
1971.495890410959,-0.016,326.44,3.45,2.0
1971.4986301369863,0.038,326.46,3.44,2.0
1971.5013698630137,0.014,326.36,3.43,2.0
1971.504109589041,0.065,326.47,3.44,2.0
1971.5068493150684,0.002,326.42,3.45,2.01
1971.509589041096,0.023,326.42,3.45,2.01
1971.5123287671233,0.038,326.42,3.47,2.01
1971.5150684931507,0.006,326.39,3.45,2.02
1971.517808219178,0.021,326.42,3.43,2.02
1971.5205479452054,0.002,326.45,3.45,2.02
1971.5232876712328,-0.007,326.42,3.43,2.02
1971.5260273972603,0.007,326.43,3.44,2.03
1971.5287671232877,0.018,326.4,3.47,2.03
1971.531506849315,0.013,326.41,3.46,2.03
1971.5342465753424,0.02,326.35,3.45,2.03
